"sent_pos","source"
0,"«Аквариум International» оставил БГ без мечты Новый расширенный состав «Аквариума» презентовал новый альбом «Лошадь белая» Восточной-то туманной мистики в песнях БГ хватало с самого начала."
1,"Но вот Борис Борисович стал по велению Шри Чинмоя именоваться Пурушоттама, что означает название 13-го месяца по индийскому календарю, а еще это одно имя Шри Кришны, а еще переводится как «дух, пронзающий бытие мира»."
2,"И стал новоиспеченный Борис Пурушоттама наведываться в Лондон, поигрывать там на собраниях поклонников индийского харизматика в больших и малых залах."
3,"Сам обрился точь-в-точь как многие из них."
4,"В не самом удачном фильме Первого канала про БГ Андрей Макаревич так высказался про отношения Гребенщикова с религиями: «Боря?"
5,"Да вы что, он же математик!» Однако жизнь всегда интереснее любых представлений о ней."
6,"В Лондоне Борис познакомился с серьезными музыкантами, которые симпатизировали индийскому гуру."
7,"Когда гуру умер, «Аквариум» сыграл в мае нынешнего года в престижнейшем Royal Albert Hall на вечере памяти Чинмоя уже вместе со знакомыми музыкантами."
8,"И дело закрутилось."
9,"Так, что «расширенный состав» Аквариума стал именоваться «Аквариум International» и только что вышел записанный этим составом новый альбом «Лошадь белая»."
10,"Лебеди белые Надо сказать, что легионеры подобрались не самые безработные."
11,"Самая большая звезда — конечно, флейтист Brian Finnegan."
12,"Он играет в фолковой англо-ирландской группе Flook и является едва ли не самым известным фолковым флейтистом Европы."
13,"Брайан любит новые проекты, и «Аквариум» стал для него всего лишь еще одной строчкой в длинном послужном списке."
14,"Но азарт, с которым Брайан виртуозно выводит сложнейшие партии на презентации альбома во МХАТе, позволяет прочувствовать его искреннюю заинтересованность в музицировании с «Аквариумом»."
15,"Довольно известны в узких кругах ситаристка Sheema Mukherjee, духовик Premik Russell Tubbs (работавший с Carlos Santana, Whitney Houston, Jean-Luc Ponty, Herbie Hancock, John McLaughlin и Ravi Shankar), да и Maria Pomianowska на азиатских струнных инструментах играла как-то с Yo-Yo Ma."
16,"Словом, чинмоевская десятка даст фору любым нашим фолковым спецам."
17,"Перед московскими презентациями «Аквариум» отработал новую программу в таком составе несколько раз и записал альбом «Лошадь белая» в Питере и Лондоне (снабдив его, разумеется, рисунками своего учителя)."
18,"Большинство новых песен прозвучало впервые именно 3 декабря во МХАТе."
19,"Надежды маленький оркестрик — Борисыч, удиви нас!"
20,"Пьяный выкрик из зала на удивление четко сформулировал главный запрос публики."
21,"Какой-то «Аквариум International», куча иностранного народа — для чего всё это?"
22,"Удивляй, Борисыч!"
23,"На сцену вышло 18 человек."
24,"Они равномерно усеяли всё пространство просторной сцены и даже в вертикальных плоскостях."
25,"Выше всех оказался Алок Верма со своими таблами и Арпан Пател с фисгармонией."
26,"Где-то посередине – струнный квартет вместе с Суротдиновым и все ударные с перкуссией."
27,"И уже на самой сцене расположились остальные."
28,"«Аквариум International» начал со святого."
29,"После длинного задумчивого вступления на одной ноте фисгармонии и ирландской волынки Бэкки Тейлор зазвучали золотые хиты: «Десять стрел» и «Луна, успокой меня»."
30,"Хитро оглянувшись, БГ принялся нарочито хриплым петь «Дуй» из нового альбома."
31,"Песня уже много раз исполнялась на концертах, но в таком «интернэшнле» ранее слышать ее не приходилось."
32,"Довольно скоро обнаружилось, что ничего содержательного в довеске из индусов и прочих англичан нет."
33,"Песня за песней, хиты разных лет или абсолютно новые песни — а звучание и аранжировки совершенно привычного нам «Аквариума»."
34,"Диковинно выглядящие ситар, фисгармония, волынка, струнная группа — суть красивая декорация."
35,"Ничего самоценного в песни не вносящая."
36,"Именно тяжелороковая «Дуй» с шумным многословным соло на фузовой гитаре прояснила вдруг суть происходящего."
37,"Приглашенных музыкантов хорошо видно, они постоянно что-то прилежно играют, но их попросту нет в звуковой картинке, нет ансамблевого звучания."
38,"Мудрый БГ предусмотрел для тихих инструментов, не готовых соревноваться с ритм-секцией и клавишами, солирующие островки."
39,"Волынку слышно, когда звучит только тихий перебор ритм-гитары самого БГ."
40,"Или играет только ситар Шимы Мухерджи как вступление к «Зимней розе»."
41,"Или Джон Джо Келли устраивает чуть ли не бисовый сольный номер на своем удивительном кельтском бубне бодране."
42,"Или Арпан Пател поет что-то индийское, аккомпанируя себе на фисгармонии перед «Феечкой», а потом еще подпевает бэки между куплетами, и ох какая смешная ирония вдруг проявляется в таком концепте."
43,"Но ансамбля как такового всё же нет."
