"sent_pos","source"
0,"С юбилеем, Д'Артаньян!"
1,"Михаил Боярский сегодня отмечает своё 60-летие."
2,"Сегодня исполнилось 60 лет Михаилу Сергеевичу Боярскому."
3,"Он с молодости считался любимцем женщин."
4,"Представительницы слабого пола приходили в восторг от того, насколько ладно сидят на стройном Боярском камзолы и мушкетёрские плащи, а мужчины искренне завидовали тому, как ловко этот черноволосый усач орудует шпагой и уверенно держится в седле."
5,"Он и сегодня поражает поклонников своей активностью ― продолжает сниматься в кино, участвовать в капустниках, играть в театре."
6,"Коренной ленинградец, Михаил Боярский уже 23 года является худруком и директором созданного им театра «Бенефис» в Санкт-Петербурге."
7,"Свой юбилей он также проведёт на сцене ― 26 декабря Михаил Сергеевич выйдет на сцену театра им."
8,"Ленсовета в спектакле-бенефисе «Смешанные чувства»."
9,"Свои поздравления Народному артисту России Михаилу Боярскому направил и президент страны."
10,"Указом Дмитрия Медведева актёр награждён орденом «За заслуги перед Отечеством» IV степени за большой вклад в развитие отечественного театрального и кинематографического искусства."
